,Unnamed: 0,ChannelStartInKeV,ChannelCount
0,0,0.0009112223,-12.019607843137246
1,1,0.02093092,-9.605392156862738
2,2,0.04095063,-7.191176470588228
3,3,0.06097033,-4.77696078431372
4,4,0.08099002,-2.362745098039211
5,5,0.1010097,0.05147058823529882
6,6,0.1210294,2.4656862745098067
7,7,0.1410491,4.879901960784315
8,8,0.1610688,7.294117647058824
9,9,0.1810885,83.64705882352942
10,10,0.2011082,431.1176470588236
11,11,0.2211279,1156.4117647058827
12,12,0.2411476,1854.823529411765
13,13,0.2611673,2159.9411764705887
14,14,0.281187,2226.411764705883
15,15,0.3012067,2234.117647058824
16,16,0.3212264,2234.6470588235297
17,17,0.3412461,2234.823529411765
18,18,0.3612658,2235.0
19,19,0.3812855,2235.0
20,20,0.4013052,2235.0
21,21,0.4213249,2235.1764705882356
22,22,0.4413446,2235.294117647059
23,23,0.4613644,2235.3529411764707
24,24,0.481384,2235.0588235294117
25,25,0.5014037,2228.235294117647
26,26,0.5214235,2196.529411764706
27,27,0.5414432,1893.058823529412
28,28,0.5614629,1209.1176470588236
29,29,0.5814825,553.9999999999999
30,30,0.6015022,288.9411764705883
31,31,0.6215219,263.764705882353
32,32,0.6415417,295.47058823529414
33,33,0.6615614,333.47058823529414
34,34,0.6815811,372.4705882352941
35,35,0.7016007,411.5882352941177
36,36,0.7216204,451.5294117647059
37,37,0.7416402,489.17647058823536
38,38,0.7616599,526.0
39,39,0.7816796,565.3529411764706
40,40,0.8016993,604.3529411764707
41,41,0.821719,643.2352941176472
42,42,0.8417386,679.8823529411766
43,43,0.8617584,673.5882352941176
44,44,0.8817781,666.1764705882354
45,45,0.9017978,661.4117647058824
46,46,0.9218175,653.0000000000001
47,47,0.9418372,650.0588235294117
48,48,0.9618568,644.529411764706
49,49,0.9818766,639.8235294117648
50,50,1.001896,636.5882352941177
51,51,1.021916,629.470588235294
52,52,1.041936,625.5882352941176
53,53,1.061955,619.5882352941178
54,54,1.081975,616.2352941176472
55,55,1.101995,615.3529411764706
56,56,1.122015,612.2352941176471
57,57,1.142034,607.4117647058824
58,58,1.162054,603.3529411764706
59,59,1.182074,599.4705882352943
60,60,1.202093,594.8823529411765
61,61,1.222113,591.4705882352941
62,62,1.242133,588.1764705882354
63,63,1.262152,585.0588235294117
64,64,1.282172,580.6470588235294
65,65,1.302192,576.1764705882352
66,66,1.322212,575.2941176470589
67,67,1.342231,571.4705882352941
68,68,1.362251,570.5294117647059
69,69,1.382271,565.8235294117646
70,70,1.40229,564.0588235294119
71,71,1.42231,561.2352941176471
72,72,1.44233,554.2352941176471
73,73,1.462349,549.0
74,74,1.482369,544.5882352941178
75,75,1.502389,537.4705882352941
76,76,1.522408,531.6470588235294
77,77,1.542428,528.5882352941177
78,78,1.562448,522.3529411764706
79,79,1.582468,517.8235294117648
80,80,1.602487,514.4117647058824
81,81,1.622507,509.9411764705883
82,82,1.642527,508.00000000000006
83,83,1.662546,501.5294117647059
84,84,1.682566,498.52941176470586
85,85,1.702586,495.3529411764706
86,86,1.722605,495.2352941176471
87,87,1.742625,492.58823529411774
88,88,1.762645,491.2941176470589
89,89,1.782665,492.17647058823536
90,90,1.802684,488.70588235294116
91,91,1.822704,488.9411764705883
92,92,1.842724,491.64705882352945
93,93,1.862743,494.7058823529412
94,94,1.882763,493.11764705882354
95,95,1.902783,493.64705882352945
96,96,1.922803,493.2941176470589
97,97,1.942822,490.29411764705884
98,98,1.962842,490.5882352941177
99,99,1.982862,491.00000000000006
100,100,2.002881,491.3529411764706
101,101,2.022901,487.3529411764706
102,102,2.042921,485.88235294117646
103,103,2.06294,481.3529411764706
104,104,2.08296,478.4705882352941
105,105,2.10298,476.17647058823536
106,106,2.122999,474.8823529411765
107,107,2.143019,475.0588235294118
108,108,2.163039,471.00000000000006
109,109,2.183059,466.2941176470589
110,110,2.203078,460.2352941176471
111,111,2.223098,455.4705882352942
112,112,2.243118,454.5882352941177
113,113,2.263137,449.1176470588236
114,114,2.283157,448.1764705882353
115,115,2.303177,444.6470588235294
116,116,2.323197,438.2352941176471
117,117,2.343216,435.5882352941177
118,118,2.363236,436.6470588235294
119,119,2.383256,433.7647058823529
120,120,2.403275,430.6470588235295
121,121,2.423295,429.0588235294118
122,122,2.443315,430.05882352941177
123,123,2.463335,427.94117647058823
124,124,2.483354,425.11764705882354
125,125,2.503374,421.7647058823529
