"","total_nitrogen","zinc","molybdenum","iron","copper","sodium","phosphorus","potassium","calcium","magnesium","sulphur","manganese","boron","crop_name"
"CK002PA2713",2.1403489112854,25.4,0.21,121,92.3,19.7,0.16,1.19,1.37,0.63,0.23,749,58.5,"Avocado"
"CK002PA2909",2.21404814720154,17.2,0.1,70.3,93.2,10.1,0.13,1.16,0.73,0.36,0.16,198,18.6,"Avocado"
"FA616-308PA0001",2.59437062937063,45.1,0.12,116,13.6,26.8,0.22,1.53,0.46,0.24,0.18,271,24.9,"Avocado"
"FA616-308PA0002",2.45066433566434,47.5,0.17,190,13.8,48.6,0.23,1.55,0.45,0.23,0.19,397,15.6,"Avocado"
"CK025PA0466",1.7958041958042,19.7,0.1,133,6.14,12.4,0.051,0.56,0.78,0.1,0.18,3260,40.1,"Macadamia"
"CK025PA0448",1.95891608391608,13.6,0.1,706,9.64,49.1,0.067,0.7,0.95,0.076,0.18,3880,48.1,"Macadamia"
"CA028PA0307",2.70275115966797,19,0.13,84.3,20.3,24.7,0.18,1.31,1.2,0.47,0.23,123,30.9,"Avocado"
"CA028PA0308",3.52257680892944,20.6,0.42,86.2,17.6,26.6,0.19,1.41,1.17,0.44,0.23,189,36,"Avocado"
"CA028PA0309",3.04412460327148,22.1,0.22,75.3,13.5,20,0.19,1.23,0.86,0.35,0.22,158,26.1,"Avocado"
"CA028PA0310",3.34828734397888,18.8,0.12,59.3,51.6,17.6,0.17,1.14,0.77,0.35,0.21,149,21.1,"Avocado"
"CA028PA0311",4.30724382400513,16.3,0.13,123,16.2,21.2,0.17,1.15,1.29,0.59,0.24,313,41.9,"Avocado"
"CA028PA0312",2.90139245986938,17.6,0.1,86.6,34,23.2,0.18,1.31,1.14,0.53,0.27,151,33.5,"Avocado"
"CK002PA2932",1.74206614494324,21.7,0.75,126,133,12.7,0.13,1.14,0.77,0.49,0.19,349,36.7,"Avocado"
"CV002PA0699",2.87307692307692,26.6,0.22,123,10.4,6.37,0.21,1.12,1.12,0.41,0.25,118,38.4,"Avocado"
"CK002PA2933",1.92968642711639,19.2,0.8,112,150,11.4,0.13,1.01,0.83,0.53,0.18,582,28,"Avocado"
"CK002PA2934",2.11142015457153,16.4,0.1,165,92.3,15.8,0.11,1.02,0.89,0.49,0.18,754,19.4,"Avocado"
"CA028PA0287",2.45042538642883,21,0.1,202,84,16.9,0.17,1.02,1.22,0.57,0.22,498,25.6,"Avocado"
"CK002PA2264",1.31407342657343,20,0.31,28.9,13.6,19.5,0.13,1.8,0.061,0.12,0.11,19.4,46,"Avocado"
"CK002PA2265",1.52596153846154,74.8,0.46,64.9,13.4,20,0.19,1.99,0.064,0.13,0.12,15.8,63.4,"Avocado"
"CK002PA2266",2.72438811188811,59.9,0.26,62.8,12.9,17.4,0.2,1.67,0.059,0.14,0.13,26.7,40.6,"Avocado"
"CK002PA2381",1.81185314685315,8.16,0.4,122,5.51,19.6,0.066,0.61,0.88,0.097,0.19,3420,25,"Macadamia"
"FA616-274PA0001",2.13251748251748,56.3,0.49,40.9,107,348,0.12,1.42,0.25,0.1,0.25,311,135,"Macadamia"
"CK002PA2935",1.81054854393005,18.7,0.13,199,118,14.5,0.12,1.22,0.98,0.57,0.23,930,29.3,"Avocado"
"CK002PA2936",1.73367607593536,21.2,0.65,162,142,18.3,0.14,1.5,0.79,0.46,0.19,473,37.8,"Avocado"
"FA616-103PA0001",1.99267053604126,25.5,0.49,71.1,7.54,52.6,0.21,1.3,1.21,0.43,0.18,73.9,18.1,"Avocado"
"CF177PA0842",0.8635373711586,8.34,0.15,74.9,5.33,42.1,0.14,0.88,0.34,0.086,0.14,579,39,"Macadamia"
"CM034PA0099",2.39378547668457,34,0.1,99.9,183,8.84,0.15,0.91,2.14,0.81,0.5,1470,38.8,"Avocado"
"CM034PA0100",2.38672041893005,33.9,0.1,101,66.7,6.74,0.15,0.92,1.71,0.69,0.37,1100,33.9,"Avocado"
"CP047PA0003",1.10948920249939,8.44,0.2,74,10.7,20.8,0.065,0.63,0.8,0.071,0.13,2610,53.1,"Macadamia"
"CE162PA0001",2.30884790420532,26.6,0.88,83.1,20.1,12,0.16,1.25,1.2,0.43,0.22,273,29.9,"Avocado"
"CP047PA0004",1.29866540431976,8.85,0.31,77.3,7.25,13.7,0.077,0.61,0.91,0.055,0.14,2950,56.3,"Macadamia"
"CK002PA2920",2.52791523933411,22.2,0.1,165,162,27.2,0.17,1.32,0.87,0.49,0.22,571,31.9,"Avocado"
"CK002PA2955",2.23111987113953,18.9,0.64,163,172,5.08,0.13,1.03,1.18,0.61,0.19,830,37.1,"Avocado"
"CK002PA2921",3.07199215888977,23.8,0.57,255,204,25.8,0.15,1.35,0.99,0.59,0.21,926,37.7,"Avocado"
"CE162PA0002",1.06449222564697,29.7,0.59,233,64.2,19.9,0.046,0.29,2.95,0.59,0.15,977,16.7,"Avocado"
"CK002PA2922",3.09139609336853,25.4,0.6,142,177,15.2,0.15,1.47,0.96,0.57,0.23,625,44.9,"Avocado"
"FA324-563PA0001",1.06207370758057,19.4,0.1,161,4.31,38.7,0.086,1.25,0.81,0.35,0.1,480,17.6,"Avocado"
"CK002PA2956",2.15500378608704,20.3,0.48,139,178,4.8,0.12,1.03,0.98,0.53,0.2,785,37.5,"Avocado"
"CK002PA2957",1.81635332107544,19.6,0.72,172,227,1.1,0.13,1.11,0.91,0.51,0.17,558,31.2,"Avocado"
"CP047PA0005",1.05002236366272,9.16,0.1,105,5.66,70,0.07,0.7,1.09,0.075,0.12,3870,44.4,"Macadamia"
"CP047PA0006",1.26349604129791,8.41,0.1,77.6,6.08,19.3,0.071,0.66,1.04,0.052,0.13,3520,126,"Macadamia"
"CW129PA0001",2.29982517482518,21,0.5,238,13.7,27,0.41,2.92,0.97,0.38,0.23,225,31.2,"Avocado"
"CK002PA2923",2.82796454429626,20.3,0.74,105,205,11.2,0.13,1.28,0.94,0.52,0.19,395,47.2,"Avocado"
"FA324-300PA0011",1.70979020979021,22.8,0.1,58.5,7.12,28.7,0.14,1.21,0.67,0.23,0.14,509,27.2,"Avocado"
"CK002PA2924",2.47779321670532,17.8,0.66,137,205,15.3,0.13,1.3,0.82,0.53,0.17,447,28.9,"Avocado"
"CK002PA2958",2.11586976051331,19.9,0.1,89.1,184,18.8,0.12,1.05,0.83,0.58,0.18,410,33.9,"Avocado"
"CK002PA2911",3.43435573577881,21.2,0.18,88.9,135,17.6,0.13,1.19,0.85,0.42,0.2,292,55.7,"Avocado"
"CK002PA2912",3.04159641265869,22.4,0.81,144,145,15,0.13,1.01,0.86,0.49,0.21,501,34.7,"Avocado"
"CK002PA2959",2.45974731445313,22,0.18,163,318,18.1,0.15,1.17,1.14,0.62,0.22,512,40.8,"Avocado"
"CK002PA2960",2.10087943077087,19.5,0.84,96.7,177,11.4,0.12,1.03,1.06,0.63,0.18,550,28.4,"Avocado"
"CA028PA0340",1.82703304290771,21.6,0.29,174,65.4,27.9,0.16,1.18,1.8,0.62,0.21,386,24.5,"Avocado"
"CK002PA2925",2.514084815979,18.5,0.88,148,238,15.5,0.12,0.91,0.82,0.54,0.17,518,25.4,"Avocado"
"FA324-300PA0014",1.55244755244755,27.8,0.26,67.5,6.78,28.8,0.14,1.25,0.77,0.26,0.13,392,20.5,"Avocado"
"FA324-300PA0015",2.10891608391608,29,0.16,69.9,8.48,33.1,0.17,1.17,0.68,0.23,0.15,724,21.1,"Avocado"
"FA324-300PA0016",1.40454545454545,27.1,0.1,71.4,6.81,63.1,0.14,1.19,0.63,0.22,0.12,455,25.4,"Avocado"
"CK002PA2943",2.18516540527344,19.7,0.39,124,170,17.7,0.13,1.26,0.68,0.49,0.17,622,30.9,"Avocado"
"FA324-300PA0017",1.56870629370629,28.3,0.33,59.9,9.3,36.9,0.19,1.41,0.53,0.22,0.15,391,18.1,"Avocado"
"CK002PA2926",0.106556370854378,21.1,0.41,133,124,12.1,0.17,1.28,1,0.48,0.22,284,54.3,"Avocado"
"CA028PA0341",2.02495408058167,24.7,0.58,215,56.2,22.7,0.17,1.31,1.11,0.62,0.21,879,31.2,"Avocado"
"CA028PA0342",1.63343477249146,18.3,0.45,158,83.8,15.2,0.15,0.84,1.8,0.65,0.24,519,28.9,"Avocado"
"CK002PA2242",1.38671328671329,57.7,0.55,247,14.1,8.52,0.18,1.88,0.13,0.15,0.086,30.9,51.4,"Avocado"
"CK002PA2243",1.3284965034965,80.1,0.45,284,12.8,6.34,0.12,1.37,0.12,0.13,0.059,35.6,56.7,"Avocado"
"CK002PA2244",1.51363636363636,63.4,0.73,67.8,9.15,12.1,0.15,1.58,0.093,0.14,0.08,40.1,39.3,"Avocado"
"CK154PA0007",2.22992634773254,16.6,0.53,102,6.79,39.4,0.12,1.33,0.79,0.3,0.16,275,80.4,"Avocado"
"CK154PA0008",3.00353002548218,30.1,0.64,89.2,7.48,26.9,0.22,2.06,0.57,0.4,0.25,273,229,"Avocado"
"CK154PA0009",2.94723701477051,36.1,0.82,140,7.32,44,0.17,1.55,0.85,0.44,0.24,274,87.7,"Avocado"
"CK154PA0010",2.72537779808044,24.9,0.26,144,5.4,51,0.14,1.63,0.77,0.45,0.22,400,259,"Avocado"
"CK002PA2927",0.05820532143116,18.9,0.3,124,142,12.1,0.12,0.91,0.85,0.54,0.16,503,23.9,"Avocado"
"CK002PA2944",2.54506850242615,18.9,0.33,165,221,25.9,0.12,1.02,0.85,0.54,0.17,770,44.1,"Avocado"
"CK002PA2961",1.9549343585968,21.1,0.79,164,208,14.2,0.13,0.97,1.05,0.65,0.17,1010,33,"Avocado"
"CE066PA3490",1.58339160839161,7.17,0.3,87.3,3.7,72.5,0.069,0.65,0.61,0.075,0.1,832,20.7,"Macadamia"
"CE066PA3528",1.54090909090909,8.6,0.15,235,4.67,23.5,0.063,0.59,0.85,0.078,0.094,882,22.7,"Macadamia"
"CM034PA0092",2.44300699300699,23.3,0.43,87.8,11.5,0.05,0.15,0.94,1.21,0.57,0.23,669,23.4,"Avocado"
"CM034PA0093",1.87132867132867,25.6,0.15,73.2,11,4.9,0.13,1.04,1.17,0.57,0.26,740,25,"Avocado"
"CM034PA0094",2.00716783216783,16.3,0.22,105,10.1,6.41,0.13,0.85,1.45,0.58,0.18,572,17.2,"Avocado"
"CM034PA0095",1.81730769230769,20.3,0.1,89.1,7.72,0.45,0.14,0.78,1.46,0.63,0.17,829,19.2,"Avocado"
"CF177PA0613",0.879441142082214,9.32,0.16,32.2,10.2,20.1,0.12,0.67,0.2,0.089,0.11,346,19.2,"Macadamia"
"CK002PA2910",2.60499882698059,18,0.1,107,161,6.49,0.12,1.05,0.83,0.44,0.2,345,21.7,"Avocado"
"CK002PA2928",0.0566014647483826,17.6,0.63,141,172,11.5,0.13,1.07,0.82,0.57,0.17,742,29,"Avocado"
"CK002PA2945",1.98140347003937,27.3,0.14,147,517,13.8,0.15,1.06,1.37,0.68,0.22,698,49.1,"Avocado"
"CA028PA0228",3.01342657342657,22.4,0.1,100,169,3.23,0.19,1.07,1.1,0.45,0.23,316,44.5,"Avocado"
"CF177PA0619",1.03178668022156,7.35,0.1,20.6,3.81,7.51,0.12,0.7,0.18,0.076,0.11,249,10.8,"Macadamia"
"CK002PA2535",2.26993006993007,19.4,0.81,90.2,199,14.7,0.11,0.69,1.07,0.38,0.19,263,47.2,"Avocado"
"CK002PA2536",2.73146853146853,27.4,0.1,127,212,8.43,0.14,1.05,0.77,0.38,0.22,322,38.2,"Avocado"
"CK002PA2537",2.27517482517483,22.3,0.1,129,235,3.67,0.12,0.74,1.35,0.52,0.22,343,45.3,"Avocado"
"CK002PA2538",2.41835664335664,24.6,0.1,127,230,6.82,0.14,1.11,0.98,0.42,0.21,318,43.1,"Avocado"
"CK002PA2539",2.8243006993007,19.7,0.17,104,256,0.05,0.1,0.6,0.82,0.43,0.18,272,36.3,"Avocado"
"CK002PA2540",2.82744755244755,31.9,0.32,118,251,8.07,0.16,1.37,0.82,0.4,0.24,337,59.5,"Avocado"
"CK002PA2542",2.39003496503497,28.6,0.1,101,209,0.05,0.15,1.15,0.8,0.4,0.22,288,55.8,"Avocado"
"CK002PA2929",1.70674467086792,17.7,0.34,81.2,157,15.3,0.13,1.09,0.77,0.43,0.16,300,24.1,"Avocado"
"CK002PA2946",2.28017854690552,26.4,0.2,99.6,204,23.9,0.13,1.28,1.11,0.54,0.19,395,42.2,"Avocado"
"CK025PA0484",1.80576923076923,11,0.3,198,39.7,44.2,0.051,0.5,1.16,0.074,0.17,4130,53.2,"Macadamia"
"CF177PA0614",1.83146715164185,16.6,0.1,37,16.5,13,0.26,0.97,0.25,0.13,0.17,560,15.2,"Macadamia"
"CK002PA2897",2.33294343948364,25.1,0.25,154,147,31.6,0.14,1.25,0.96,0.5,0.23,399,39.6,"Avocado"
"CK002PA2963",2.54763960838318,20.8,0.1,109,20.3,11.7,0.16,0.94,1.3,0.58,0.24,715,73,"Avocado"
"CK002PA2947",2.04111909866333,17.1,0.1,74,165,11,0.11,0.81,0.75,0.52,0.16,215,21.1,"Avocado"
"CK002PA2949",2.61873483657837,28.3,0.16,149,224,8.72,0.17,1.07,1.13,0.58,0.22,604,49.4,"Avocado"
"CK002PA2930",2.14322590827942,21,0.38,91.5,251,11.4,0.13,1.17,0.76,0.5,0.18,243,38.3,"Avocado"
"CK002PA2931",2.03901100158691,28.1,0.23,198,152,12.9,0.13,1.15,0.97,0.55,0.2,645,37.7,"Avocado"
"CK002PA2948",2.38604068756104,23.2,0.25,103,178,22.1,0.14,1.37,0.64,0.44,0.18,372,41.2,"Avocado"
"CK002PA2913",2.78068161010742,22.6,0.26,203,161,18.2,0.13,1.11,1,0.56,0.19,950,34.1,"Avocado"
"CK002PA2914",0.22196438908577,22.6,0.8,147,243,19.6,0.15,1.45,0.9,0.47,0.21,474,33.7,"Avocado"
"CK002PA2951",2.03544998168945,25.5,0.46,108,113,15.8,0.14,1.16,1.07,0.55,0.2,466,34,"Avocado"
"CK002PA2952",2.08942914009094,20.1,0.29,113,194,16.8,0.15,1.47,0.76,0.45,0.17,292,31.8,"Avocado"
"CK002PA2547",1.50996503496504,41.8,0.1,46.7,23.9,19.8,0.13,1.34,0.05,0.081,0.1,40.4,26.9,"Avocado"
"CF177PA0615",1.53625380992889,14.1,0.16,33.1,9.66,7.92,0.23,0.9,0.23,0.11,0.16,494,12.9,"Macadamia"
"CV002PA0709",2.03567671775818,21.8,0.37,86.6,10,50.4,0.15,1.44,1.15,0.55,0.28,192,36.9,"Avocado"
"CK002PA2915",2.41766381263733,25.8,0.69,143,152,10.8,0.14,1.22,0.99,0.51,0.23,679,43,"Avocado"
"CF177PA0306",2.28670024871826,24.9,0.56,87.2,5.85,21.4,0.21,1.54,0.97,0.42,0.24,173,39.7,"Avocado"
"CK002PA2950",2.58958768844604,26,0.48,171,305,18.9,0.15,0.86,1.33,0.74,0.21,788,40.7,"Avocado"
"CK002PA2916",2.63707995414734,22.7,0.48,170,232,28.7,0.16,1.46,0.78,0.47,0.21,488,40.2,"Avocado"
"CK002PA2917",2.56096196174622,18.7,0.48,209,153,15.5,0.15,1.05,0.97,0.62,0.18,944,30.9,"Avocado"
"CS018PA0010",3.03461538461538,27.5,0.1,88.9,11.1,15.1,0.16,1.2,1.15,0.45,0.23,832,19.2,"Avocado"
"CS018PA0011",2.72307692307692,30,0.29,78.4,8.41,30,0.15,1.32,1.13,0.41,0.23,509,28.8,"Avocado"
"CS018PA0013",2.71573426573427,27.4,0.1,76.6,8.69,10.3,0.16,1.27,1.04,0.43,0.24,589,17.7,"Avocado"
"CS018PA0007",2.72045454545455,21.7,1.69,71.8,4,14.2,0.17,1.08,1.73,0.39,0.26,105,32.2,"Avocado"
"CS018PA0008",3.34143356643357,28.2,1.36,74.7,4.12,19.8,0.19,1.15,1.5,0.45,0.29,155,43.8,"Avocado"
"CS018PA0009",3.49825174825175,27.1,0.55,76.6,4.24,18.3,0.2,1.12,1.46,0.39,0.28,164,28.4,"Avocado"
"CF177PA0307",2.15762877464294,21.5,0.33,84.2,3.4,18.3,0.21,1.38,0.94,0.48,0.23,230,37.8,"Avocado"
"CF177PA0308",2.12772369384766,21.1,0.18,63.7,3.18,13.7,0.17,1.15,0.89,0.37,0.19,244,34.9,"Avocado"
"CF177PA0309",2.30864763259888,36.3,0.35,79,4.88,14,0.26,1.48,0.72,0.37,0.28,498,34,"Avocado"
"CF177PA0310",2.35911679267883,36,0.41,78.1,3.7,18.1,0.27,1.62,0.68,0.33,0.29,408,33.9,"Avocado"
"CF177PA0311",2.42520141601563,31.2,0.33,70.8,3.29,16.1,0.25,1.51,0.56,0.28,0.26,276,32.3,"Avocado"
"CF177PA0312",2.50992226600647,37.1,0.22,93.3,5.19,10.1,0.29,1.69,0.51,0.33,0.29,255,32.4,"Avocado"
"CK002PA2436",1.63562937062937,7.45,0.63,86.4,5.22,15.2,0.093,0.67,0.48,0.074,0.1,1790,64.8,"Macadamia"
"CK002PA2441",1.80660839160839,8.1,0.14,110,4.57,14.3,0.065,0.64,0.65,0.07,0.14,2090,29.3,"Macadamia"
"CK002PA2459",1.73737762237762,10.5,0.31,121,4.49,18.8,0.081,0.71,0.56,0.078,0.12,744,75.9,"Macadamia"
"CK002PA2462",1.90678321678322,8.08,0.34,92,5.23,12.3,0.094,0.8,0.62,0.071,0.14,2420,67.1,"Macadamia"
"CF177PA0313",2.40471243858337,30.3,0.1,71.2,5.37,14.5,0.27,1.79,0.58,0.33,0.26,377,28.7,"Avocado"
"CF177PA0314",2.13240122795105,28.8,0.2,75.4,5.88,11.3,0.22,1.63,0.6,0.33,0.22,469,32.5,"Avocado"
"CF177PA0315",1.89021694660187,20.1,0.25,75.7,2.44,20.7,0.21,1.5,0.64,0.38,0.22,352,61.3,"Avocado"
"CF177PA0316",1.89504337310791,22.8,0.11,88.3,1.39,19.6,0.24,1.53,0.49,0.32,0.21,425,67.6,"Avocado"
"CF177PA0617",1.09204697608948,8.96,0.1,22.5,5.07,5.48,0.13,0.71,0.18,0.084,0.11,282,12,"Macadamia"
"CF177PA0317",1.87691080570221,22,0.31,79.3,2.55,14.4,0.18,1.29,0.74,0.37,0.24,435,52.9,"Avocado"
"CF177PA0318",2.01593136787415,20.9,0.31,84.5,2.17,16.2,0.2,1.44,0.63,0.42,0.24,606,71.8,"Avocado"
"CF177PA0618",1.4597977399826,14.6,0.1,34.7,7.98,15.5,0.21,0.82,0.24,0.1,0.14,500,14.3,"Macadamia"
"CF177PA0319",1.95655012130737,23.3,0.18,151,4.47,18.3,0.22,1.43,0.54,0.36,0.22,546,62.8,"Avocado"
"CK002PA2918",2.68285727500916,20.6,0.47,190,190,13.6,0.13,0.91,1.08,0.69,0.18,1060,34.6,"Avocado"
"CK002PA2953",2.16801834106445,18.5,0.72,211,176,4.73,0.13,0.79,1.06,0.58,0.18,1050,26.2,"Avocado"
"CK002PA2954",2.41762828826904,20.9,0.69,160,182,12.2,0.14,0.89,1.13,0.64,0.18,991,34.1,"Avocado"
"CK002PA2919",2.72494792938232,28.5,0.28,236,152,18.5,0.14,1.2,0.82,0.57,0.18,811,23.2,"Avocado"
"CP047PA0002",1.35761201381683,9.16,0.1,94.4,20.3,30,0.057,0.62,0.95,0.054,0.14,4690,42.9,"Macadamia"
"CM034PA0097",2.4111123085022,22.6,0.1,99.6,14.4,10.5,0.14,0.8,1.77,0.64,0.3,1450,31.4,"Avocado"
"CM034PA0098",2.53893709182739,26.5,0.18,92.9,12.3,14.2,0.18,1.12,1.36,0.56,0.32,893,37.5,"Avocado"
"CF177PA0620",1.44731271266937,9.47,0.1,39.1,5.48,2.31,0.18,0.82,0.3,0.1,0.14,481,18.7,"Macadamia"
"CF177PA0798",1.56496918201447,12.7,0.1,76.9,5.22,50.7,0.14,1.17,0.63,0.14,0.22,1470,30.8,"Macadamia"
"CA170PA0681",0.952948987483978,6.63,0.1,30.2,2.43,7.07,0.064,0.69,0.65,0.077,0.17,1870,24.5,"Macadamia"
"CA170PA0682",1.30003893375397,5.95,0.1,61.5,4.84,4.67,0.07,0.75,0.82,0.079,0.22,3210,30.6,"Macadamia"
"CA170PA0684",1.08335065841675,5.87,0.1,88.7,3.24,10.6,0.058,0.82,0.97,0.07,0.18,1500,49.4,"Macadamia"
"CA170PA0685",0.969801306724548,8.4,0.17,82.4,4.17,30.3,0.051,0.73,1.1,0.08,0.19,1640,48.2,"Macadamia"
"CA170PA0686",0.944969534873962,5.68,0.16,71.1,2.38,54,0.042,0.72,1.26,0.093,0.17,2170,49.9,"Macadamia"
"CA170PA0687",1.03009676933289,5.27,0.1,98.3,3.35,39.1,0.045,0.79,1.03,0.1,0.19,2020,45,"Macadamia"
"CF177PA0799",1.34421384334564,33.7,0.1,88.2,3.55,83.6,0.14,0.8,0.55,0.09,0.25,1960,42.1,"Macadamia"
"CV002PA0736",1.77656555175781,43.8,1.23,330,1260,34,0.1,1.03,1.57,0.51,0.46,569,37.3,"Avocado"
"CF177PA0800",1.95996868610382,14.3,0.1,98,4.4,58.2,0.18,1.08,0.72,0.16,0.3,1070,49.5,"Macadamia"
"AGD207-408PA0016",2.40723562240601,36.4,1.46,118,18.2,1.65,0.34,1.69,0.51,0.3,0.21,358,31.2,"Avocado"
"AGD207-408PA0017",1.87592899799347,35.7,2.14,147,15.4,2.88,0.33,1.85,0.47,0.3,0.19,283,24.4,"Avocado"
"CF177PA0794",1.58328413963318,9.27,0.1,86.5,2.99,81.6,0.094,0.82,0.6,0.094,0.22,918,32.2,"Macadamia"
"CF177PA0796",1.48295176029205,24.8,0.1,144,3.8,122,0.22,0.93,1.02,0.13,0.24,3710,56.5,"Macadamia"
"CF177PA0797",1.81991374492645,27.4,0.1,81,3.49,69.4,0.16,1.05,0.52,0.12,0.23,1560,30.9,"Macadamia"
"CF177PA0857",1.31234395503998,28.8,0.38,109,6.12,48.6,0.11,0.97,0.48,0.32,0.14,343,27.6,"Avocado"
"CF177PA0874",2.82930254936218,22.6,0.84,84.7,1.91,26.8,0.18,1.34,1.31,0.38,0.24,196,96.2,"Avocado"
"CF177PA0875",3.18957829475403,22.3,0.53,98.7,2.73,16.3,0.17,1.22,1.31,0.45,0.24,312,123,"Avocado"
"CF177PA0876",2.38010668754578,26.5,0.69,82,7.63,7.7,0.16,1.21,0.89,0.43,0.22,266,97.3,"Avocado"
"CF177PA0858",2.91213321685791,80.8,0.93,158,7.92,36.3,0.22,1.22,0.8,0.39,0.24,541,33,"Pecan Nut"
"CF177PA0856",1.7689688205719,27.3,0.7,137,8.09,34.9,0.14,1.22,1.4,0.36,0.18,139,56.2,"Avocado"
"CF177PA0859",2.87239527702332,40.6,1.23,122,7.68,34.5,0.26,1.27,1.39,0.37,0.26,620,36.8,"Pecan Nut"
"CK002PA2743",2.15939879417419,28.6,0.16,140,144,17.3,0.12,1.03,1.04,0.49,0.21,955,40.8,"Avocado"
"CA028PA0335",1.75283777713776,33.4,0.77,99.8,60.9,20.3,0.16,1.12,2.16,0.61,0.32,162,38.3,"Avocado"
"CK002PA2744",2.15219187736511,31.5,0.18,114,176,10.2,0.11,1,1.05,0.49,0.21,1320,38,"Avocado"
"CA028PA0336",1.97915470600128,23.6,0.64,150,15.7,16.5,0.14,1.05,1.61,0.73,0.22,597,28.7,"Avocado"
"CS018PA0005",2.55157342657343,29.9,0.58,142,16.7,17,0.19,1.38,0.7,0.34,0.2,347,28.6,"Avocado"
"CK002PA2232",2.18653846153846,27.1,1.16,117,45.3,16.9,0.11,1.14,1.48,0.49,0.16,609,41.9,"Avocado"
"CK002PA2233",2.28671328671329,31,1.72,108,42.1,17.4,0.11,1.14,1.62,0.55,0.19,729,25.7,"Avocado"
"CK002PA2234",2.32762237762238,24.6,0.94,108,12.4,12.3,0.14,1.05,1.29,0.54,0.19,460,51.9,"Avocado"
"CK002PA2235",2.50804195804196,26.6,1.23,124,9.23,14.3,0.13,0.99,1.06,0.54,0.19,618,32.3,"Avocado"
"CK002PA2236",2.62342657342657,26.8,0.41,106,9.35,9.05,0.14,1.09,0.96,0.42,0.17,623,50.2,"Avocado"
"CK002PA2237",2.4986013986014,22.8,0.88,94.1,8.49,17.4,0.15,1.05,1.24,0.55,0.18,481,63.4,"Avocado"
"CK002PA2725",2.56197619438171,27.7,0.1,118,196,11.3,0.13,0.94,1.56,0.5,0.22,1990,43.9,"Avocado"
"CK002PA2726",2.34359693527222,35.7,0.25,135,259,6.24,0.14,1.15,1.42,0.48,0.23,1760,48.1,"Avocado"
"CA028PA0337",1.85145449638367,19.3,0.58,105,89.7,12.6,0.15,0.97,2.07,0.68,0.22,351,25.6,"Avocado"
"CS460PA0003",1.08801460266113,20.8,0.1,108,2.57,43.4,0.048,0.74,0.8,0.059,0.09,2140,24,"Macadamia"
"CK002PA2727",2.42624306678772,40,0.32,110,201,4.3,0.14,0.99,1.43,0.52,0.2,1740,38.9,"Avocado"
"CA028PA0338",1.91292691230774,33.4,0.55,145,59.3,19.9,0.16,1.26,1.27,0.63,0.24,717,32.6,"Avocado"
"CK002PA2728",2.43395709991455,33.1,0.58,114,262,3.92,0.14,1.02,1.2,0.54,0.22,1220,38.8,"Avocado"
"CS460PA0007",1.04017245769501,18.4,0.1,73.5,3,27.1,0.062,0.8,1.07,0.055,0.19,2260,42.2,"Macadamia"
"CS460PA0010",1.33325552940369,47.5,0.1,142,4.06,25,0.083,0.68,1,0.084,0.34,1970,23,"Macadamia"
"CK002PA2729",2.00346970558167,32.4,0.27,123,196,7.43,0.13,1.01,1.46,0.54,0.21,1650,39,"Avocado"
"CA028PA0339",1.72690165042877,27.3,0.38,161,51.7,19.8,0.17,1.14,1.59,0.67,0.21,735,30.9,"Avocado"
"CS460PA0014",1.18472278118134,44.2,0.1,83.9,2.25,15.5,0.054,0.74,0.88,0.088,0.2,1540,30.7,"Macadamia"
"CK002PA2730",2.01147079467773,28.9,0.24,127,322,2.16,0.12,1.09,1.26,0.47,0.18,1960,43.2,"Avocado"
"CK002PA2731",2.02983117103577,31.9,1.57,90.1,106,3.69,0.11,1.11,1.58,0.47,0.19,1980,44.3,"Avocado"
"CK002PA2732",2.02291226387024,26.6,0.55,75.2,111,3.2,0.12,1.04,1.52,0.48,0.18,1690,52.6,"Avocado"
"FA324-300PA0012",1.72132867132867,27.7,0.1,63.4,8.97,29.1,0.16,1.32,0.64,0.22,0.13,613,23.8,"Avocado"
"FA324-300PA0013",1.86083916083916,31.6,0.1,72.8,7.56,18.1,0.13,1.23,0.75,0.23,0.14,719,20.7,"Avocado"
"FA324-300PA0018",1.55664335664336,22.6,0.22,60.8,7.56,47,0.15,1.26,0.74,0.24,0.15,693,24.2,"Avocado"
"FA324-300PA0019",1.80576923076923,22.5,0.1,72,7.03,25,0.15,1.11,0.82,0.24,0.16,870,24.7,"Avocado"
"CK002PA2733",1.5516015291214,34.9,0.64,86.2,105,0.57,0.11,1.19,1.3,0.46,0.18,1600,50.6,"Avocado"
"FA324-350PA0001",3.0471,26.2,0.1,150,3.26,14.2,0.14,0.93,1.11,0.38,0.21,974,26.1,"Avocado"
"CR029PA0047",2.7770979020979,30.6,0.62,70.3,5.71,6.15,0.13,0.91,1.66,0.41,0.26,485,41.5,"Avocado"
"CR029PA0048",2.75034965034965,28.8,0.7,68.9,5.64,3.54,0.13,0.87,1.62,0.4,0.26,473,40.7,"Avocado"
"FA324-368PA0003",2.77814685314685,33.5,0.1,91.3,13.3,10.9,0.13,1.06,1.71,0.48,0.22,1030,34.3,"Avocado"
"FA324-368PA0004",2.44667832167832,21.3,0.1,82.4,6.83,0.63,0.14,0.97,1.23,0.39,0.2,1160,23.1,"Avocado"
"FA324-350PA0004",2.60244755244755,24.9,0.11,92.2,9.65,0.17,0.13,1,1.76,0.49,0.21,1270,39.4,"Avocado"
