,ChannelCount,ChannelStartInKeV
10,250.73529411764707,0.2009094
11,694.6764705882354,0.2209291
12,1125.588235294118,0.2409488
13,1313.8823529411766,0.2609685
14,1352.9117647058824,0.2809882
15,1357.1764705882354,0.301008
16,1357.5882352941176,0.3210276
17,1357.6764705882354,0.3410473
18,1357.764705882353,0.3610671
19,1357.9411764705883,0.3810867
20,1358.058823529412,0.4011064
21,1358.1176470588234,0.4211262
22,1358.235294117647,0.4411458
23,1358.3823529411768,0.4611655
24,1358.264705882353,0.4811853
25,1354.352941176471,0.501205
26,1333.0588235294117,0.5212247
27,1151.1764705882351,0.5412443
28,727.7058823529412,0.561264
29,317.82352941176475,0.5812837
30,151.2941176470589,0.6013035
31,132.44117647058826,0.6213232
32,148.70588235294122,0.6413429
33,168.26470588235298,0.6613626
34,188.7058823529412,0.6813822
35,207.70588235294116,0.7014019
36,227.5294117647059,0.7214217
37,248.76470588235296,0.7414414
38,268.8235294117647,0.7614611
39,289.61764705882354,0.7814808
40,310.4411764705882,0.8015004
41,329.1470588235295,0.8215201
42,348.7058823529412,0.8415399
43,347.0882352941177,0.8615596
44,345.1176470588236,0.8815793
45,344.9117647058824,0.901599
46,344.91176470588243,0.9216187
47,341.85294117647067,0.9416384
48,341.50000000000006,0.9616581
49,339.94117647058823,0.9816778
50,338.70588235294116,1.001697
51,336.44117647058823,1.021717
52,336.64705882352945,1.041737
53,333.41176470588243,1.061757
54,330.7941176470589,1.081776
55,328.88235294117646,1.101796
56,326.70588235294116,1.121816
57,323.264705882353,1.141835
58,320.9411764705883,1.161855
59,318.1764705882353,1.181875
60,315.4411764705883,1.201895
61,312.5882352941176,1.221914
62,309.05882352941177,1.241934
63,305.38235294117646,1.261954
64,304.1764705882353,1.281973
65,302.3235294117647,1.301993
66,300.82352941176475,1.322013
67,300.5588235294118,1.342032
68,300.8529411764706,1.362052
69,299.9705882352942,1.382072
70,301.3529411764706,1.402092
71,300.1176470588236,1.422111
72,299.52941176470586,1.442131
73,296.1176470588236,1.462151
74,293.79411764705884,1.48217
75,292.4117647058824,1.50219
76,291.1470588235294,1.52221
77,290.0294117647059,1.542229
78,289.5294117647059,1.562249
79,289.32352941176475,1.582269
80,289.67647058823536,1.602288
81,288.2647058823529,1.622308
82,285.0882352941177,1.642328
83,282.82352941176475,1.662348
84,279.7058823529412,1.682367
85,277.6470588235294,1.702387
86,276.0588235294118,1.722407
87,274.79411764705884,1.742426
88,276.0294117647059,1.762446
89,276.61764705882354,1.782466
90,281.5294117647059,1.802485
91,289.38235294117646,1.822505
92,296.4117647058824,1.842525
93,303.0588235294118,1.862545
94,307.3823529411765,1.882564
95,308.264705882353,1.902584
96,308.0294117647059,1.922604
97,306.32352941176475,1.942623
98,305.1764705882353,1.962643
99,304.6470588235294,1.982663
100,304.6176470588236,2.002682
101,303.6764705882353,2.022702
102,302.8235294117647,2.042722
103,303.64705882352945,2.062742
104,308.5000000000001,2.082761
105,318.1176470588236,2.102781
106,336.14705882352945,2.122801
107,355.55882352941177,2.14282
108,372.2352941176471,2.16284
109,380.61764705882354,2.18286
110,384.0294117647059,2.202879
111,383.6470588235294,2.222899
112,384.50000000000006,2.242919
113,384.64705882352945,2.262939
114,386.0294117647059,2.282958
115,388.32352941176475,2.302978
116,390.88235294117646,2.322998
117,393.5,2.343017
118,396.2352941176471,2.363037
119,398.14705882352945,2.383057
120,398.4117647058824,2.403077
121,399.2941176470589,2.423096
122,401.3529411764707,2.443116
123,408.11764705882354,2.463136
124,432.8823529411766,2.483155
125,481.0294117647059,2.503175
126,553.4705882352941,2.523195
127,637.3235294117648,2.543215
