,ChannelCount,ChannelStartInKeV
10,241.52941176470594,0.2009202
11,658.9117647058823,0.2209399
12,1067.294117647059,0.2409596
13,1245.4117647058824,0.2609793
14,1283.4705882352946,0.280999
15,1288.029411764706,0.3010187
16,1288.4117647058827,0.3210384
17,1288.6176470588239,0.3410581
18,1288.7352941176468,0.3610778
19,1288.9411764705883,0.3810975
20,1288.9705882352941,0.4011172
21,1289.058823529412,0.4211369
22,1289.1764705882354,0.4411566
23,1289.1764705882356,0.4611763
24,1289.029411764706,0.481196
25,1284.5588235294117,0.5012157
26,1267.7647058823534,0.5212354
27,1098.9117647058824,0.5412551
28,707.5882352941178,0.5612748
29,323.7647058823529,0.5812945
30,170.8529411764706,0.6013142
31,157.64705882352945,0.6213339
32,177.52941176470588,0.6413536
33,202.11764705882354,0.6613733
34,224.73529411764707,0.681393
35,248.91176470588235,0.7014127
36,272.6470588235294,0.7214324
37,295.6470588235294,0.7414521
38,319.38235294117646,0.7614718
39,344.5882352941177,0.7814915
40,367.264705882353,0.8015112
41,391.26470588235304,0.8215309
42,412.5294117647059,0.8415506
43,407.7352941176471,0.8615703
44,405.4411764705883,0.88159
45,402.14705882352945,0.9016097
46,400.11764705882354,0.9216294
47,397.9411764705883,0.9416491
48,394.4705882352942,0.9616688
49,391.8235294117648,0.9816885
50,388.264705882353,1.001708
51,386.20588235294116,1.021728
52,383.91176470588243,1.041748
53,381.97058823529414,1.061767
54,380.97058823529414,1.081787
55,377.2647058823529,1.101807
56,372.264705882353,1.121826
57,370.6176470588236,1.141846
58,366.5882352941177,1.161866
59,365.52941176470586,1.181885
60,364.97058823529414,1.201905
61,361.23529411764713,1.221925
62,357.3823529411765,1.241945
63,354.32352941176475,1.261964
64,349.97058823529414,1.281984
65,347.29411764705884,1.302004
66,343.97058823529414,1.322023
67,343.5294117647059,1.342043
68,343.4117647058823,1.362063
69,342.8529411764706,1.382083
70,341.3823529411765,1.402102
71,340.7941176470589,1.422122
72,340.1764705882353,1.442142
73,339.02941176470586,1.462161
74,336.0294117647059,1.482181
75,333.3529411764706,1.502201
76,330.41176470588243,1.52222
77,329.61764705882354,1.54224
78,330.8529411764706,1.56226
79,331.23529411764713,1.58228
80,330.0,1.602299
81,328.29411764705884,1.622319
82,327.7647058823529,1.642339
83,326.9705882352942,1.662358
84,324.6470588235294,1.682378
85,322.70588235294116,1.702398
86,321.50000000000006,1.722417
87,322.0882352941177,1.742437
88,325.2941176470589,1.762457
89,330.7352941176471,1.782477
90,339.79411764705884,1.802496
91,350.9411764705883,1.822516
92,361.38235294117646,1.842536
93,372.79411764705884,1.862555
94,377.4411764705883,1.882575
95,378.0588235294118,1.902595
96,377.17647058823525,1.922614
97,376.5,1.942634
98,375.764705882353,1.962654
99,375.3823529411765,1.982674
100,374.11764705882354,2.002693
101,371.7352941176471,2.022713
102,371.32352941176464,2.042733
103,373.32352941176475,2.062752
104,381.6176470588236,2.082772
105,397.5,2.102792
106,422.82352941176475,2.122812
107,453.7352941176471,2.142831
108,481.1176470588236,2.162851
109,499.0588235294118,2.182871
110,503.64705882352945,2.20289
111,503.0882352941177,2.22291
112,502.0882352941177,2.24293
113,501.44117647058823,2.262949
114,502.6470588235294,2.282969
115,506.17647058823536,2.302989
116,509.11764705882354,2.323009
117,513.4117647058824,2.343028
118,516.8529411764706,2.363048
119,517.9705882352941,2.383068
120,516.6176470588236,2.403087
121,511.32352941176475,2.423107
122,501.61764705882354,2.443127
123,495.94117647058823,2.463146
124,500.55882352941177,2.483166
125,530.2352941176471,2.503186
126,589.0882352941177,2.523206
127,666.2058823529413,2.543225
128,734.2941176470588,2.563245
129,786.1470588235295,2.583265
130,823.1176470588235,2.603284
131,856.5,2.623304
132,895.029411764706,2.643324
133,941.029411764706,2.663343
134,990.2058823529412,2.683363
135,1036.0,2.703383
136,1074.1470588235293,2.723403
137,1110.5,2.743422
138,1146.3823529411766,2.763442
139,1178.1764705882354,2.783462
140,1195.5882352941178,2.803481
141,1189.1470588235295,2.823501
142,1147.6764705882354,2.843521
143,1075.8823529411766,2.86354
144,991.9411764705883,2.88356
145,922.6470588235294,2.90358
146,871.7352941176471,2.923599
147,836.2058823529412,2.943619
148,806.3529411764706,2.963639
149,770.6470588235295,2.983659
